,item_id,first_genre,second_genre
0,40462273,Historical Fiction,Fiction
1,16482835,Fantasy,Fiction
2,2677305,Historical Fiction,Fiction
3,2606334,Fantasy,Urban Fantasy
4,21986944,Science Fiction,Dystopia
5,6863383,Historical Fiction,Fiction
6,13362064,Fantasy,Fiction
7,17427104,Fantasy,Urban Fantasy
8,23581869,Paranormal,Vampires
9,602144,Fantasy,Paranormal
10,24346290,Fantasy,Paranormal
11,3124969,Fantasy,Young Adult
12,41358233,Fantasy,Sequential Art
13,15035863,Fantasy,Fiction
14,163928,Young Adult,Science Fiction
15,3174890,Fiction,Cultural
16,1582285,Nonfiction,Food and Drink
17,7383770,Thriller,Mystery
18,25630244,Mystery,Fiction
19,726205,Fantasy,Dragons
20,45424866,Mystery,Fiction
21,18962767,Nonfiction,History
22,49825436,Mystery,Young Adult
23,1559207,Fiction,Classics
24,1031537,Fantasy,Classics
25,19135892,Romance,Young Adult
26,21882391,Romance,Dark
27,2327777,Science Fiction,Fiction
28,21571970,Fiction,Romance
29,6553801,Autobiography,Memoir
30,19155818,Young Adult,Science Fiction
31,2933712,Classics,Fantasy
32,19187769,Horror,Young Adult
33,1928049,Romance,Fantasy
34,3287769,Nonfiction,Food and Drink
35,26123543,Sequential Art,Graphic Novels
36,44560442,Science Fiction,Young Adult
37,41240456,Thriller,Mystery
38,26732095,Nonfiction,Autobiography
39,18972016,Young Adult,Fantasy
40,5228078,Fantasy,Paranormal
41,42299347,Science Fiction,Fiction
42,42862752,Fantasy,Young Adult
43,806813,Fantasy,Fiction
44,25273993,Horror,Mystery
45,12784133,Fantasy,Paranormal
46,25473547,Romance,New Adult
47,45949491,Nonfiction,Autobiography
48,901952,Young Adult,Science Fiction
49,25032500,Romance,Adult Fiction
50,3287043,Fiction,Contemporary
51,15248718,Young Adult,Science Fiction
52,41711673,Fiction,Contemporary
53,662923,Young Adult,Paranormal
54,5122699,Fantasy,Young Adult
55,40714465,Nonfiction,Science
56,2766347,Classics,Fiction
57,40195,Fiction,Thriller
58,44707128,Romance,New Adult
59,13291399,Fantasy,Young Adult
60,857698,Young Adult,Paranormal
61,28147221,Fantasy,Mystery
62,4901516,Historical Fiction,Fiction
63,171715,Fantasy,Fiction
64,2375385,Classics,Fantasy
65,22436394,Fantasy,Young Adult
66,42750582,Fantasy,Young Adult
67,3863622,Fantasy,Paranormal
68,45119441,Fantasy,Science Fiction
69,6113503,Fiction,Historical
70,42857,Fiction,Contemporary
71,2035753,Fantasy,Young Adult
72,300461,Nonfiction,Crime
73,23582083,Romance,New Adult
74,2129546,Fantasy,Young Adult
75,5991850,Historical,Historical Fiction
76,16951806,Young Adult,Fantasy
77,1069505,Fantasy,Young Adult
78,3135896,Fiction,Thriller
79,10860635,Humor,Nonfiction
80,2100252,Classics,Fiction
81,24064531,Fiction,Historical
82,15249128,Young Adult,Fantasy
83,803205,Fantasy,Fantasy
84,16102692,Historical Fiction,Young Adult
85,781271,Fantasy,Classics
86,2370171,Nonfiction,Self Help
87,4219,Nonfiction,Food and Drink
88,3251160,Sequential Art,Graphic Novels
89,2715267,Fantasy,Young Adult
90,3349934,Fantasy,Urban Fantasy
91,7350661,Mystery,Fiction
92,45313982,Horror,Fiction
93,2728068,Fantasy,Urban Fantasy
94,26115712,Science Fiction,Fiction
95,7156226,Fantasy,Young Adult
96,13530989,Young Adult,Fantasy
97,822151,Fantasy,Fiction
98,46367847,Young Adult,Contemporary
99,23858953,Womens Fiction,Chick Lit
100,14279456,Sequential Art,Graphic Novels
101,16258764,Nonfiction,Autobiography
102,3048937,Horror,Fiction
103,2883783,Nonfiction,Autobiography
104,48860979,Young Adult,Romance
105,21979689,Fantasy,Young Adult
106,43959628,Romance,Young Adult
107,19256026,Short Stories,Fiction
108,11254742,Fantasy,Young Adult
109,3261241,Fantasy,Fiction
110,10558806,Fantasy,Fiction
111,2174436,Fantasy,Paranormal
112,903067,Nonfiction,Autobiography
113,17268041,Young Adult,Historical
114,42216232,Fantasy,Young Adult
115,3358875,Historical,Historical Fiction
116,2000351,Fiction,Classics
117,6196751,Young Adult,Fantasy
118,1249788,Fantasy,Childrens
119,44165520,LGBT,Childrens
120,19082966,Young Adult,Contemporary
121,14512257,Historical,Historical Fiction
122,30518,Poetry,Childrens
123,6777681,Romance,Young Adult
124,19234450,Romance,Young Adult
125,25887622,Young Adult,Contemporary
126,3125926,Fiction,Inspirational
127,908211,Science Fiction,Fiction
128,45775594,Historical,Historical Fiction
129,6759670,Mystery,Fiction
130,3764682,Fiction,Contemporary
131,7160343,Young Adult,Science Fiction
132,4117634,Young Adult,Fantasy
133,43166999,Fiction,Contemporary
134,1508178,Fantasy,Fiction
135,15868401,Historical,Historical Fiction
136,47426931,Thriller,Horror
137,30474,Sequential Art,Graphic Novels
138,19212100,Dark,Romance
139,19249629,Historical,Historical Fiction
140,9720811,Fantasy,Young Adult
141,44736077,Fantasy,Young Adult
142,1829521,Young Adult,Fantasy
143,24034803,Science Fiction,Dystopia
144,5026857,Nonfiction,Autobiography
145,15781826,Fantasy,Young Adult
146,2742631,Romance,Womens Fiction
147,114515,Sequential Art,Graphic Novels
148,869832,Mystery,Young Adult
149,3020535,Childrens,Picture Books
150,48027180,Thriller,Mystery
151,18214662,Young Adult,Paranormal
152,17263666,Science Fiction,Fiction
153,13441827,Fiction,Contemporary
154,13578604,Fantasy,Young Adult
155,19014102,Fiction,Magical Realism
156,5164827,Romance,Paranormal Romance
157,47434536,Historical,Historical Fiction
158,11351526,Young Adult,Fantasy
159,19928978,Young Adult,Science Fiction
160,26129516,Dark,Romance
161,1623714,Young Adult,Contemporary
162,21956898,Fiction,Mystery
163,1470371,Womens Fiction,Chick Lit
164,17969941,Romance,Historical
165,14037039,Young Adult,Mystery
166,1008846,Young Adult,Contemporary
167,3258721,Humor,Fiction
168,16371399,Romance,Young Adult
169,950769,Classics,Fiction
170,12731936,Fantasy,Urban Fantasy
171,3331021,Classics,Fiction
172,25092132,Mystery,Fiction
173,10695325,Young Adult,Paranormal
174,266624,Fiction,Classics
175,3077988,Classics,Fiction
176,21890979,Historical,Historical Fiction
177,941200,Fiction,Contemporary
178,20434723,Thriller,Fiction
179,1008494,Young Adult,Romance
180,1955658,Fiction,Historical
181,17276473,Romance,Romance
182,52586056,Contemporary,Young Adult
183,27662564,Sequential Art,Graphic Novels
184,1413589,Nonfiction,Classics
185,40690062,Fantasy,Young Adult
186,21861160,Young Adult,Fantasy
187,113603,Fantasy,Fiction
188,2662852,Classics,Fiction
189,19034797,Young Adult,Childrens
190,16484218,Young Adult,Dystopia
191,26323812,Childrens,Middle Grade
192,47261413,Historical,Historical Fiction
193,6449955,Fantasy,Fiction
194,4733312,Young Adult,Fantasy
195,21445709,Nonfiction,Psychology
196,1073110,Mystery,Fiction
197,3149511,Fiction,Fantasy
198,1774510,Fantasy,Young Adult
199,51234185,Fiction,Magical Realism
200,44380622,Fantasy,Young Adult
201,45813875,Romance,Young Adult
202,7352929,Young Adult,Science Fiction
203,44094715,Horror,Fiction
204,25697736,Romance,Dark
205,2346070,Classics,Fiction
206,1053933,Fantasy,Paranormal
207,16657990,Historical,Historical Fiction
